,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_n_neighbors,param_p,param_weights,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,split5_test_neg_mean_absolute_error,split6_test_neg_mean_absolute_error,split7_test_neg_mean_absolute_error,split8_test_neg_mean_absolute_error,split9_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,split5_test_neg_mean_squared_error,split6_test_neg_mean_squared_error,split7_test_neg_mean_squared_error,split8_test_neg_mean_squared_error,split9_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_max_error,split1_test_max_error,split2_test_max_error,split3_test_max_error,split4_test_max_error,split5_test_max_error,split6_test_max_error,split7_test_max_error,split8_test_max_error,split9_test_max_error,mean_test_max_error,std_test_max_error,rank_test_max_error
0,0.1245603084564209,0.0017057864169364523,0.10456702709197999,0.014419344328352313,kd_tree,20,3,2,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 20, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",-1.3698979747220952,-1.1984285061671998,-1.945130196436729,-1.4024120603015076,-1.470732450129435,-1.8388457438708694,-1.6150601492310035,-1.5021623267854423,-1.6358154408405665,-1.6701050708085883,-1.5648589919293436,0.21207720824878354,16,-3.5299206740774576,-2.6715235267245316,-6.842536353484594,-3.6934690929394445,-4.587231358814274,-7.41202629308157,-4.93762397847825,-4.247497588954875,-4.978577737170702,-5.567551149687834,-4.846795775341353,1.390365291885406,17,-14.9,-10.466666666666665,-10.266666666666667,-11.033333333333333,-19.1,-21.200000000000003,-13.733333333333334,-12.666666666666666,-11.200000000000003,-17.900000000000002,-14.246666666666666,3.717173358585497,16
1,0.13422393798828125,0.0071066821384066815,0.10928387641906738,0.017654238970308173,kd_tree,20,3,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 20, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",-1.366106294549046,-1.1974317070653302,-1.9360018757836148,-1.395957155625491,-1.471843648061909,-1.8438883435147608,-1.6084825093034936,-1.490905452732433,-1.6326169705241658,-1.666248576768117,-1.5609482533928363,0.21198578683670907,13,-3.5146096038552597,-2.670250847360904,-6.81975933122408,-3.6682617836308955,-4.589115711136031,-7.419145950271617,-4.8959419407552485,-4.2105678571467235,-4.976314650867318,-5.53924972991352,-4.83032174061616,1.3920393244808584,14,-14.900000000000002,-10.464258413568889,-10.266132037403857,-11.032726395928776,-19.096311924937858,-20.943360705790987,-13.72101615451179,-12.791283648074153,-11.14549212019702,-17.84614395636173,-14.220672535677505,3.6637891095268063,13
2,0.13120529651641846,0.0038598732584675718,0.1205289602279663,0.017434633078558182,kd_tree,20,5,2,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 20, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",-1.3636592051164915,-1.1855733211512105,-1.8949739607126541,-1.3778931018730014,-1.420877112836912,-1.750360895386021,-1.6085061671996346,-1.4058839652809503,-1.6102147099132025,-1.6253741434444953,-1.5243316582914574,0.19997138811071458,10,-3.5474716802192785,-2.5348318867062583,-6.526420581087255,-3.6343548396528096,-4.393562083142988,-7.135442119689356,-4.824232617633623,-3.710124805847419,-4.653693558702604,-5.328735707629053,-4.628886988031065,1.3362311799939,10,-15.98,-9.2,-10.64,-8.940000000000001,-18.64,-23.320000000000004,-11.560000000000002,-10.6,-10.22,-19.42,-13.852,4.829129942339511,4
3,0.1271467924118042,0.0044802298840131895,0.11766712665557862,0.01795783257370343,kd_tree,20,5,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 20, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",-1.3556298086450416,-1.17928185148244,-1.886935082853302,-1.3678361471082359,-1.4178110513677644,-1.7555310332846805,-1.5989004583706952,-1.3966692530176967,-1.6019356921352772,-1.6196170586229903,-1.5180147436888125,0.20120944749785674,7,-3.5070125435004615,-2.5159727159497853,-6.49826324449288,-3.5790059164643164,-4.385917345635377,-7.132877349938996,-4.776749731434988,-3.6816778699642088,-4.6300258340142,-5.293903249221148,-4.600140580061636,1.3417109111842436,7,-15.862828378834228,-9.268398543253412,-10.626599818123836,-8.91705790266565,-18.656351432156768,-22.981197459348074,-11.736410246528703,-10.803324774662947,-10.22109931510487,-19.373599090500235,-13.844686696117872,4.729427385491431,1
4,0.13473012447357177,0.014978261488957983,0.1382593631744385,0.020687045925647556,kd_tree,20,7,2,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 20, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",-1.3654016837433924,-1.184653135808915,-1.87087450238204,-1.3538106114990536,-1.3851106180251909,-1.7032956992755988,-1.5896887032565425,-1.385756052992234,-1.617124583958755,-1.6016896169157477,-1.5057405207857468,0.19386424380039746,4,-3.522541787788665,-2.5151119698678923,-6.37544325244031,-3.531583600749573,-4.219283266984272,-7.063513299335267,-4.719759278768611,-3.615309642833835,-4.593531852210962,-5.20018282600386,-4.535626077698324,1.3159790376773008,4,-16.442857142857143,-8.257142857142856,-10.457142857142857,-8.857142857142858,-19.085714285714285,-24.22857142857143,-12.085714285714289,-10.071428571428571,-10.742857142857142,-20.414285714285718,-14.064285714285717,5.284371451048183,10
5,0.1268171787261963,0.003733427366244718,0.12725963592529296,0.016610741257670102,kd_tree,20,7,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 20, 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",-1.3573653555048202,-1.1735358727340308,-1.8609352465355788,-1.3412461198223404,-1.38182981964029,-1.7057355075835996,-1.5801133085558223,-1.3731601654237628,-1.606302682640837,-1.5923369328098969,-1.4972561011250978,0.19517924351784832,1,-3.479730582105507,-2.4815017803644395,-6.343194829889872,-3.468025790607552,-4.2132440625388865,-7.041903591369112,-4.6638863023795265,-3.57750146741166,-4.553397442230539,-5.150319059484834,-4.497270490838193,1.3200257368524921,1,-16.317331475953715,-8.41071691251084,-10.452681703931276,-8.786995133119797,-19.08091444547677,-23.90564104999726,-12.175096292840525,-10.257948216867156,-10.668298348921354,-20.330730978267237,-14.03863545578859,5.18462247772708,7
6,0.12762250900268554,0.004182805594807718,0.10778963565826416,0.019359451291476287,kd_tree,30,3,2,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",-1.3698979747220952,-1.1984285061671998,-1.945130196436729,-1.4024120603015076,-1.470732450129435,-1.8388457438708694,-1.6150601492310035,-1.5021623267854423,-1.6358154408405665,-1.6701050708085883,-1.5648589919293436,0.21207720824878354,16,-3.5299206740774576,-2.6715235267245316,-6.842536353484594,-3.6934690929394445,-4.587231358814274,-7.41202629308157,-4.93762397847825,-4.247497588954875,-4.978577737170702,-5.567551149687834,-4.846795775341353,1.390365291885406,17,-14.9,-10.466666666666665,-10.266666666666667,-11.033333333333333,-19.1,-21.200000000000003,-13.733333333333334,-12.666666666666666,-11.200000000000003,-17.900000000000002,-14.246666666666666,3.717173358585497,16
7,0.12482008934020997,0.0017691248250269154,0.10629503726959229,0.017808876467707655,kd_tree,30,3,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",-1.366106294549046,-1.1974317070653302,-1.9360018757836148,-1.395957155625491,-1.471843648061909,-1.8438883435147608,-1.6084825093034936,-1.490905452732433,-1.6326169705241658,-1.666248576768117,-1.5609482533928363,0.21198578683670907,13,-3.5146096038552597,-2.670250847360904,-6.81975933122408,-3.6682617836308955,-4.589115711136031,-7.419145950271617,-4.8959419407552485,-4.2105678571467235,-4.976314650867318,-5.53924972991352,-4.83032174061616,1.3920393244808584,14,-14.900000000000002,-10.464258413568889,-10.266132037403857,-11.032726395928776,-19.096311924937858,-20.943360705790987,-13.72101615451179,-12.791283648074153,-11.14549212019702,-17.84614395636173,-14.220672535677505,3.6637891095268063,13
8,0.1291060447692871,0.008533703490511494,0.1192305326461792,0.0189252514063881,kd_tree,30,5,2,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",-1.3636592051164915,-1.1855733211512105,-1.8949739607126541,-1.3778931018730014,-1.420877112836912,-1.750360895386021,-1.6085061671996346,-1.4058839652809503,-1.6102147099132025,-1.6253741434444953,-1.5243316582914574,0.19997138811071458,10,-3.5474716802192785,-2.5348318867062583,-6.526420581087255,-3.6343548396528096,-4.393562083142988,-7.135442119689356,-4.824232617633623,-3.710124805847419,-4.653693558702604,-5.328735707629053,-4.628886988031065,1.3362311799939,10,-15.98,-9.2,-10.64,-8.940000000000001,-18.64,-23.320000000000004,-11.560000000000002,-10.6,-10.22,-19.42,-13.852,4.829129942339511,4
9,0.13246488571166992,0.007206076901748428,0.12720954418182373,0.022720499615408635,kd_tree,30,5,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",-1.3556298086450416,-1.17928185148244,-1.886935082853302,-1.3678361471082359,-1.4178110513677644,-1.7555310332846805,-1.5989004583706952,-1.3966692530176967,-1.6019356921352772,-1.6196170586229903,-1.5180147436888125,0.20120944749785674,7,-3.5070125435004615,-2.5159727159497853,-6.49826324449288,-3.5790059164643164,-4.385917345635377,-7.132877349938996,-4.776749731434988,-3.6816778699642088,-4.6300258340142,-5.293903249221148,-4.600140580061636,1.3417109111842436,7,-15.862828378834228,-9.268398543253412,-10.626599818123836,-8.91705790266565,-18.656351432156768,-22.981197459348074,-11.736410246528703,-10.803324774662947,-10.22109931510487,-19.373599090500235,-13.844686696117872,4.729427385491431,1
10,0.13091723918914794,0.006109783090507428,0.1310962677001953,0.02050876682820748,kd_tree,30,7,2,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",-1.3654016837433924,-1.184653135808915,-1.87087450238204,-1.3538106114990536,-1.3851106180251909,-1.7032956992755988,-1.5896887032565425,-1.385756052992234,-1.617124583958755,-1.6016896169157477,-1.5057405207857468,0.19386424380039746,4,-3.522541787788665,-2.5151119698678923,-6.37544325244031,-3.531583600749573,-4.219283266984272,-7.063513299335267,-4.719759278768611,-3.615309642833835,-4.593531852210962,-5.20018282600386,-4.535626077698324,1.3159790376773008,4,-16.442857142857143,-8.257142857142856,-10.457142857142857,-8.857142857142858,-19.085714285714285,-24.22857142857143,-12.085714285714289,-10.071428571428571,-10.742857142857142,-20.414285714285718,-14.064285714285717,5.284371451048183,10
11,0.12712533473968507,0.004268373311282072,0.1296159267425537,0.018873035158505,kd_tree,30,7,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 30, 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",-1.3573653555048202,-1.1735358727340308,-1.8609352465355788,-1.3412461198223404,-1.38182981964029,-1.7057355075835996,-1.5801133085558223,-1.3731601654237628,-1.606302682640837,-1.5923369328098969,-1.4972561011250978,0.19517924351784832,1,-3.479730582105507,-2.4815017803644395,-6.343194829889872,-3.468025790607552,-4.2132440625388865,-7.041903591369112,-4.6638863023795265,-3.57750146741166,-4.553397442230539,-5.150319059484834,-4.497270490838193,1.3200257368524921,1,-16.317331475953715,-8.41071691251084,-10.452681703931276,-8.786995133119797,-19.08091444547677,-23.90564104999726,-12.175096292840525,-10.257948216867156,-10.668298348921354,-20.330730978267237,-14.03863545578859,5.18462247772708,7
12,0.1105264663696289,0.004297366768915224,0.10079431533813477,0.014186166698791153,kd_tree,40,3,2,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 40, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",-1.3698979747220952,-1.1984285061671998,-1.945130196436729,-1.4024120603015076,-1.470732450129435,-1.8388457438708694,-1.615121059844678,-1.5021318714786052,-1.6358154408405665,-1.6701050708085883,-1.5648620374600275,0.212079551487125,18,-3.5299206740774576,-2.6715235267245316,-6.842536353484594,-3.6934690929394445,-4.587231358814274,-7.41202629308157,-4.9376605248464545,-4.247424496218466,-4.978577737170702,-5.567551149687834,-4.846792120704533,1.390368681426303,16,-14.9,-10.466666666666665,-10.266666666666667,-11.033333333333333,-19.1,-21.200000000000003,-13.733333333333334,-12.666666666666666,-11.200000000000003,-17.900000000000002,-14.246666666666666,3.717173358585497,16
13,0.11202425956726074,0.0049690762114233625,0.10181353092193604,0.01500841573701174,kd_tree,40,3,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 40, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",-1.366106294549046,-1.1974317070653302,-1.9360018757836148,-1.395957155625491,-1.471843648061909,-1.8438883435147608,-1.6085390222720228,-1.4908759288494093,-1.6326169705241658,-1.666248576768117,-1.560950952301387,0.21198803048168646,15,-3.5146096038552597,-2.670250847360904,-6.81975933122408,-3.6682617836308955,-4.589115711136031,-7.419145950271617,-4.895980959066485,-4.210498825370289,-4.976314650867318,-5.53924972991352,-4.83031873926964,1.3920425820143154,13,-14.900000000000002,-10.464258413568889,-10.266132037403857,-11.032726395928776,-19.096311924937858,-20.943360705790987,-13.72101615451179,-12.791283648074153,-11.14549212019702,-17.84614395636173,-14.220672535677505,3.6637891095268063,13
14,0.11021487712860108,0.003957225087120065,0.10902152061462403,0.014846055502611756,kd_tree,40,5,2,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 40, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",-1.3636592051164915,-1.1855733211512105,-1.8949739607126541,-1.3778931018730014,-1.420877112836912,-1.750360895386021,-1.6085427135678392,-1.4058748286888991,-1.6102147099132025,-1.6253741434444953,-1.5243343992690725,0.19997346797386345,12,-3.5474716802192785,-2.5348318867062583,-6.5264242357240745,-3.6343548396528096,-4.393562083142988,-7.135442119689356,-4.824321790772042,-3.710116217450891,-4.653693558702604,-5.328735707629053,-4.628895411968935,1.336233593401772,12,-15.98,-9.2,-10.64,-8.940000000000001,-18.64,-23.320000000000004,-11.560000000000002,-10.6,-10.22,-19.42,-13.852,4.829129942339511,4
15,0.11380817890167236,0.006577518067178376,0.1099472999572754,0.015495694570843526,kd_tree,40,5,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 40, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",-1.3556298086450416,-1.17928185148244,-1.886935078646538,-1.3678361471082359,-1.4178110513677644,-1.7555310332846805,-1.5989366309137563,-1.396660831479847,-1.6019356921352772,-1.6196170586229903,-1.5180175183686573,0.20121140905467377,9,-3.5070125435004615,-2.5159727159497853,-6.498266861427088,-3.5790059164643164,-4.385917345635377,-7.132877349938996,-4.776838648405707,-3.6816696565450964,-4.6300258340142,-5.293903249221148,-4.600149012110217,1.341713155800961,9,-15.862828378834228,-9.268398543253412,-10.626599818123836,-8.91705790266565,-18.656351432156768,-22.981197459348074,-11.736410246528703,-10.803324774662947,-10.22109931510487,-19.373599090500235,-13.844686696117872,4.729427385491431,1
16,0.11425631046295166,0.0065026761489912375,0.12483785152435303,0.020490209903699114,kd_tree,40,7,2,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 40, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",-1.3653886314690336,-1.1847706062781442,-1.8708483978333224,-1.3538106114990536,-1.3851106180251909,-1.7032956992755988,-1.5896887032565425,-1.385756052992234,-1.6170593225869607,-1.6016830907785684,-1.5057411733994648,0.19383674633022666,6,-3.522540669022291,-2.5152825817398683,-6.3754309460102,-3.531583600749573,-4.219283266984272,-7.063513299335267,-4.719759278768611,-3.615309642833835,-4.593466963761292,-5.200117471401534,-4.535628772060674,1.3159476232537848,6,-16.442857142857143,-8.257142857142856,-10.457142857142857,-8.857142857142858,-19.085714285714285,-24.22857142857143,-12.085714285714289,-10.071428571428571,-10.742857142857142,-20.414285714285718,-14.064285714285717,5.284371451048183,10
17,0.1152953863143921,0.0073197580456529415,0.12515740394592284,0.015247682053015313,kd_tree,40,7,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 40, 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",-1.3573528131222306,-1.1736382429123495,-1.8609096711846587,-1.3412461198223404,-1.38182981964029,-1.7057355075835996,-1.5801133085558223,-1.3731601654237628,-1.6062494505865292,-1.5923311783191443,-1.4972566277150725,0.19515514582361906,3,-3.4797292660503447,-2.481633202847015,-6.343182785855166,-3.468025790607552,-4.2132440625388865,-7.041903591369112,-4.6638863023795265,-3.57750146741166,-4.553343482926774,-5.150261370023351,-4.4972711322009395,1.320001002153717,3,-16.317331475953715,-8.41071691251084,-10.452681703931276,-8.786995133119797,-19.08091444547677,-23.90564104999726,-12.175096292840525,-10.257948216867156,-10.668298348921354,-20.330730978267237,-14.03863545578859,5.18462247772708,7
